ID	TOPIC	NUM_DOCUMENTS	SOURCE
2	Gewaltprävention	10	http://www.bildungsserver.de/Gewaltpraevention-Materialien-und-Handreichungen-1251.html
3	Umwelterziehung	10	http://www.bildungsserver.de/Umweltbildung-Umwelterziehung-706.html
4	Gesunde Ernährung	13	http://www.bildungsserver.de/Gesunde-Ernaehrung-2653.html
5	Quereinsteiger/Seiteneinsteiger in die Lehre	5	http://www.bildungsserver.de/Quereinsteiger-Seiteneinsteiger-1573.html
6	Reform des Dualen Systems	10	http://www.bildungsserver.de/Reform-des-Dualen-Systems-412.html
7	Mediation/Streitschlichtung	7	http://www.bildungsserver.de/Mediation-Streitschlichtung-2208.html
8	Deutscher Qualifikationsrahmen	4	http://www.bildungsserver.de/Deutscher-Qualifikationsrahmen-DQR--6696.html
9	Fachbeiträge zum Thema Lesen	12	http://www.bildungsserver.de/Fachbeitraege-zum-Thema-Lesen-2421.html
10	Verkürztes Abitur - G8 oder G9	14	http://www.bildungsserver.de/Verkuerztes-Abitur-G8-oder-G9--10717.html
11	Rechtsextremismus-Antisemitismus-Rassismus	7	http://www.bildungsserver.de/Extremismus-Links-und-Rechtsextremismus-Islamismus-Antisemitismus-Rassismus-3373.html
